ID,Fullname,City
207,Eox Xoe,Perth
208,Eox Xoe,Santiago de Cuba
209,Eox Xoe,São José dos Campos
210,Eox Xoe,Pelotas
211,Eox Xoe,Bergen
212,Eox Xoe,Guangzhou
213,Eox Xoe,Whitehorse
214,Eox Xoe,Columbus
215,Eox Xoe,El Paso
216,Eox Xoe,Reykjavík
217,Eox Xoe,Strasbourg
218,Eox Xoe,Harbin
219,Eox Xoe,Zürich
220,Eox Xoe,Graz
221,Eox Xoe,Saint-Pierre
222,Eox Xoe,Santiago
223,Eox Xoe,Sydney
224,Eox Xoe,Mendoza
225,Eox Xoe,Surabaya
226,Eox Xoe,Nashville
227,Eox Xoe,Surat
228,Eox Xoe,Pretoria
229,Eox Xoe,Praia
230,Eox Xoe,Glasgow
231,Eox Xoe,Seville
232,Eox Xoe,Porto-Novo
233,Eox Xoe,Toulouse
234,Eox Xoe,Abu Dhabi
235,Eox Xoe,South Tarawa
236,Eox Xoe,Angra do Heroísmo
237,Eox Xoe,Kansas City
238,Eox Xoe,Saint-Denis
239,Eox Xoe,Guayaquil
240,Eox Xoe,Adamstown
241,Eox Xoe,Multan
242,Eox Xoe,Malang
243,Eox Xoe,Recife
244,Eox Xoe,Quetzaltenango
245,Eox Xoe,Chennai
246,Eox Xoe,Sucre
247,Eox Xoe,Macapá
248,Eox Xoe,Petropavlovsk-Kamchatsky
249,Eox Xoe,Cardiff
250,Eox Xoe,Almaty
251,Eox Xoe,Puebla
252,Eox Xoe,Thiès
253,Eox Xoe,Wichita
254,Eox Xoe,Adak
255,Eox Xoe,Rabat
256,Eox Xoe,Palikir
257,Eox Xoe,Brikama
258,Eox Xoe,Yokohama
259,Eox Xoe,Chongqing
260,Eox Xoe,Quetzaltenango
261,Eox Xoe,Brazzaville
262,Eox Xoe,Punta Arenas
263,Eox Xoe,Nukulaelae
264,Eox Xoe,Adana
265,Eox Xoe,Djibouti (city)
266,Eox Xoe,Bangui
267,Eox Xoe,Johor Bahru
268,Eox Xoe,Tagbilaran
269,Eox Xoe,Lyon
270,Eox Xoe,Panama City
271,Eox Xoe,Palembang
272,Eox Xoe,Athens
273,Eox Xoe,Greenwich
274,Eox Xoe,Lobamba
275,Eox Xoe,Ljubljana
276,Eox Xoe,Recife
277,Eox Xoe,Praia
278,Eox Xoe,Lubumbashi
279,Eox Xoe,Douala
280,Eox Xoe,Jeddah
281,Eox Xoe,Bratsk
282,Eox Xoe,Caracas
283,Eox Xoe,Warsaw
284,Eox Xoe,Rawalpindi
285,Eox Xoe,Manama
286,Eox Xoe,Marrakech
287,Eox Xoe,Kaohsiung
288,Eox Xoe,Tucson
289,Eox Xoe,Odessa
290,Eox Xoe,Porto-Novo
291,Eox Xoe,Copenhagen
292,Eox Xoe,Quito
293,Eox Xoe,Brasília
294,Eox Xoe,The Hague
295,Eox Xoe,San Francisco
296,Eox Xoe,Rabi Island
297,Eox Xoe,Saint Petersburg
298,Eox Xoe,Angra do Heroísmo
299,Eox Xoe,Brussels
300,Eox Xoe,Valencia
301,Eox Xoe,Saint John
302,Eox Xoe,Lanzhou
303,Eox Xoe,Nicosia
304,Eox Xoe,Nassau
305,Eox Xoe,Vaduz
306,Eox Xoe,Tartu
307,Eox Xoe,Kandahar
308,Eox Xoe,Nagpur
309,Eox Xoe,Port Vila
310,Eox Xoe,London
311,Eox Xoe,Antwerp
312,Eox Xoe,Djibouti (city)
313,Eox Xoe,Handan
314,Eox Xoe,Douala
315,Eox Xoe,Santa Cruz de Tenerife
316,Eox Xoe,Perm
317,Eox Xoe,Vladivostok
318,Eox Xoe,Ottawa
319,Eox Xoe,Osaka
320,Eox Xoe,Mwanza
321,Eox Xoe,Aarhus
322,Eox Xoe,Cork (city)
323,Eox Xoe,Qingdao
324,Eox Xoe,Road Town
325,Eox Xoe,Qingdao
326,Eox Xoe,Astana
327,Eox Xoe,Vladivostok
328,Eox Xoe,Bratislava
329,Eox Xoe,Palembang
330,Eox Xoe,Douala
331,Eox Xoe,Pittsburgh
332,Eox Xoe,Davao City
333,Eox Xoe,Memphis
334,Eox Xoe,London
335,Eox Xoe,Praia
336,Eox Xoe,Split (city)
337,Eox Xoe,Mumbai
338,Eox Xoe,Indianapolis
339,Eox Xoe,Chuí
340,Eox Xoe,Assis
341,Eox Xoe,Forked River
342,Eox Xoe,Ciudad del Este
343,Eox Xoe,Blantyre
344,Eox Xoe,Bangalore
345,Eox Xoe,Houston
346,Eox Xoe,Athens
347,Eox Xoe,Cuiabá
348,Eox Xoe,Jerusalem
349,Eox Xoe,Dakar
350,Eox Xoe,Stanley
351,Eox Xoe,Christchurch
352,Eox Xoe,Karachi
353,Eox Xoe,Amsterdam
354,Eox Xoe,Mwanza
355,Eox Xoe,Batticaloa
356,Eox Xoe,Kandahar
357,Eox Xoe,Thessaloniki
358,Eox Xoe,Cincinnati
359,Eox Xoe,Antananarivo
360,Eox Xoe,Huế
361,Eox Xoe,Monaco
362,Eox Xoe,Kuwait City
363,Eox Xoe,Hanover
364,Eox Xoe,Tiraspol
365,Eox Xoe,Omsk
366,Eox Xoe,Xining
367,Eox Xoe,Johannesburg
368,Eox Xoe,Seville
369,Eox Xoe,Tashkent
370,Eox Xoe,Nagoya
371,Eox Xoe,Harbin
372,Eox Xoe,Astana
373,Eox Xoe,Khartoum
374,Eox Xoe,Kano
375,Eox Xoe,Petropavlovsk-Kamchatsky
376,Eox Xoe,Guangzhou
377,Eox Xoe,Hanover
378,Eox Xoe,Townsville
379,Eox Xoe,Denver
380,Eox Xoe,Peshawar
381,Eox Xoe,Cayenne
382,Eox Xoe,Gothenburg
383,Eox Xoe,Shigatse
384,Eox Xoe,Washington
385,Eox Xoe,Atlanta
386,Eox Xoe,Regina
387,Eox Xoe,Townsville
388,Eox Xoe,Wichita
389,Eox Xoe,Perth
390,Eox Xoe,Port Moresby
391,Eox Xoe,Lviv
392,Eox Xoe,Las Palmas de Gran Canaria
393,Eox Xoe,Port Moresby
394,Eox Xoe,Monaco
395,Eox Xoe,Tel Aviv
396,Eox Xoe,Indianapolis
397,Eox Xoe,Darwin
398,Eox Xoe,Paris
399,Eox Xoe,Beirut
400,Eox Xoe,Enugu
401,Eox Xoe,South Tarawa
402,Eox Xoe,Boston
403,Eox Xoe,Porto Alegre
404,Eox Xoe,Recife
405,Eox Xoe,Phnom Penh
406,Eox Xoe,Taiyuan
407,Eox Xoe,Bratislava
408,Eox Xoe,Saskatoon
409,Eox Xoe,Detroit
410,Eox Xoe,Naples
411,Eox Xoe,Bogotá
412,Eox Xoe,Port Said
413,Eox Xoe,Dibrugarh
414,Eox Xoe,Charlottetown
415,Eox Xoe,Manama
416,Eox Xoe,Bandung
417,Eox Xoe,Dresden
418,Eox Xoe,London
419,Eox Xoe,Andorra la Vella
420,Eox Xoe,Dongguan
421,Eox Xoe,Port Elizabeth
422,Eox Xoe,Maracaibo
423,Eox Xoe,Adamstown
424,Eox Xoe,Kolkata
425,Eox Xoe,Namangan
426,Eox Xoe,Winnipeg
427,Eox Xoe,Sydney
428,Eox Xoe,Yangon
429,Eox Xoe,Lomé
430,Eox Xoe,Port Blair
431,Eox Xoe,Reykjavík
432,Eox Xoe,Kandahar
433,Eox Xoe,Sabha
434,Eox Xoe,Chengdu
435,Eox Xoe,Dakar
436,Eox Xoe,Durban
437,Eox Xoe,Faisalabad
438,Eox Xoe,Bangkok
439,Eox Xoe,Mexicali
440,Eox Xoe,Brazzaville
441,Eox Xoe,Ndola
442,Eox Xoe,Kaliningrad
443,Eox Xoe,Valletta
444,Eox Xoe,Denver
445,Eox Xoe,Maceió
446,Eox Xoe,Ponta Delgada
447,Eox Xoe,Malang
448,Eox Xoe,Porto-Novo
449,Eox Xoe,Cannes
450,Eox Xoe,Mecca
451,Eox Xoe,Shigatse
452,Eox Xoe,Thimphu
453,Eox Xoe,Melbourne
454,Eox Xoe,Tskhinvali
455,Eox Xoe,Bishkek
456,Eox Xoe,Ponta Delgada
457,Eox Xoe,Boa Vista
458,Eox Xoe,Bahía Blanca
459,Eox Xoe,Mogadishu
460,Eox Xoe,Qingdao
461,Eox Xoe,Birkirkara
462,Eox Xoe,Shigatse
463,Eox Xoe,Mbabane
464,Eox Xoe,Surat
465,Eox Xoe,Marrakech
466,Eox Xoe,Jinan
467,Eox Xoe,Ibiza
468,Eox Xoe,Mashhad
469,Eox Xoe,Copenhagen
470,Eox Xoe,Campo Grande
471,Eox Xoe,Arbil
472,Eox Xoe,Dunedin
473,Eox Xoe,Vilnius
474,Eox Xoe,Ankara
475,Eox Xoe,Nicosia
476,Eox Xoe,Zapopan
477,Eox Xoe,Nashville
478,Eox Xoe,Livingstone
479,Eox Xoe,Phnom Penh
480,Eox Xoe,Saint-Denis
481,Eox Xoe,Atlanta
482,Eox Xoe,Prague
483,Eox Xoe,Medellín
484,Eox Xoe,Havana
485,Eox Xoe,Valparaíso
486,Eox Xoe,Saipan
487,Eox Xoe,San José
488,Eox Xoe,Santa Cruz de la Sierra
489,Eox Xoe,Hobart
490,Eox Xoe,Bratislava
491,Eox Xoe,Thiès
492,Eox Xoe,Mexicali
493,Eox Xoe,Tijuana
494,Eox Xoe,Tokyo
495,Eox Xoe,Lahore
496,Eox Xoe,Ahmedabad
497,Eox Xoe,Accra
498,Eox Xoe,Manaus
499,Eox Xoe,Vientiane
500,Eox Xoe,Jayapura
501,Eox Xoe,Gibraltar
502,Eox Xoe,Adamstown
503,Eox Xoe,Fortaleza
504,Eox Xoe,Portland
505,Eox Xoe,Avarua
506,Eox Xoe,Lanzhou
507,Eox Xoe,Simferopol
508,Eox Xoe,Tampere
509,Eox Xoe,Yekaterinburg
510,Eox Xoe,Fairbanks
511,Eox Xoe,Ushuaia
512,Eox Xoe,Blantyre
513,Eox Xoe,Pelotas
514,Eox Xoe,Havana
515,Eox Xoe,Auckland
516,Eox Xoe,Honiara
517,Eox Xoe,Suva
518,Eox Xoe,Adelaide
519,Eox Xoe,Tel Aviv
520,Eox Xoe,South Tarawa
521,Eox Xoe,Malang
522,Eox Xoe,Agartala
523,Eox Xoe,Cali
524,Eox Xoe,Lisbon
525,Eox Xoe,Kabul
526,Eox Xoe,Curitiba
527,Eox Xoe,Malacca Town
528,Eox Xoe,Douala
529,Eox Xoe,New York City
530,Eox Xoe,Düsseldorf
531,Eox Xoe,Las Palmas de Gran Canaria
532,Eox Xoe,St. John's
533,Eox Xoe,Toulouse
534,Eox Xoe,El Paso
535,Eox Xoe,Port Elizabeth
536,Eox Xoe,Panama City
537,Eox Xoe,Shenyang
538,Eox Xoe,Stepanakert
539,Eox Xoe,Pekanbaru
540,Eox Xoe,Taichung
541,Eox Xoe,Kaohsiung
542,Eox Xoe,El Aaiún
543,Eox Xoe,Port Hedland
544,Eox Xoe,Chittagong
545,Eox Xoe,Port Said
546,Eox Xoe,City of San Marino
547,Eox Xoe,Lviv
548,Eox Xoe,Guatemala City
549,Eox Xoe,Philadelphia
550,Eox Xoe,Surabaya
551,Eox Xoe,Tagbilaran
552,Eox Xoe,Jacksonville
553,Eox Xoe,Mamoudzou
554,Eox Xoe,Ankara
555,Eox Xoe,Makati City
556,Eox Xoe,Christchurch
557,Eox Xoe,Punta Arenas
558,Eox Xoe,Magadan
559,Eox Xoe,Bissau
560,Eox Xoe,Cali
561,Eox Xoe,San Francisco
562,Eox Xoe,New York City
563,Eox Xoe,Sapporo
564,Eox Xoe,Shenyang
565,Eox Xoe,Philadelphia
566,Eox Xoe,Serekunda
567,Eox Xoe,Rochester
568,Eox Xoe,Norilsk
569,Eox Xoe,Darwin
570,Eox Xoe,Kaesong
571,Eox Xoe,Murmansk
572,Eox Xoe,Bratislava
573,Eox Xoe,Damascus
574,Eox Xoe,Serekunda
575,Eox Xoe,Timbuktu
576,Eox Xoe,Turin
577,Eox Xoe,Funafuti
578,Eox Xoe,Damascus
579,Eox Xoe,Leipzig
580,Eox Xoe,Atlanta
581,Eox Xoe,Ushuaia
582,Eox Xoe,Harare
583,Eox Xoe,Yamoussoukro
584,Eox Xoe,Gdańsk
585,Eox Xoe,Nukulaelae
586,Eox Xoe,Bucharest
587,Eox Xoe,Shenzhen
588,Eox Xoe,Denver
589,Eox Xoe,Veracruz
590,Eox Xoe,Manchester
591,Eox Xoe,Valparaíso
592,Eox Xoe,Abuja
593,Eox Xoe,Port Louis
594,Eox Xoe,Tbilisi
595,Eox Xoe,Tampa
596,Eox Xoe,Damascus
597,Eox Xoe,Amman
598,Eox Xoe,Surabaya
599,Eox Xoe,Guangzhou
600,Eox Xoe,Kuala Lumpur
601,Eox Xoe,Muscat
602,Eox Xoe,Port Hedland
603,Eox Xoe,Castries
604,Eox Xoe,Avarua
605,Eox Xoe,Addis Ababa
606,Eox Xoe,Ahmedabad
607,Eox Xoe,Port Elizabeth
608,Eox Xoe,Kingstown
609,Eox Xoe,Nairobi
610,Eox Xoe,Stanley
611,Eox Xoe,Graz
612,Eox Xoe,Ouagadougou
613,Eox Xoe,Bridgetown
614,Eox Xoe,Dibrugarh
615,Eox Xoe,Road Town
616,Eox Xoe,Vilnius
617,Eox Xoe,Vaduz
618,Eox Xoe,Shenzhen
619,Eox Xoe,Labasa
620,Eox Xoe,Sucre
621,Eox Xoe,Wichita
622,Eox Xoe,Djibouti (city)
623,Eox Xoe,Adak
624,Eox Xoe,Omdurman
625,Eox Xoe,Santa Cruz de Tenerife
626,Eox Xoe,Oranjestad
627,Eox Xoe,Curitiba
628,Eox Xoe,Batticaloa
629,Eox Xoe,City of Halifax
630,Eox Xoe,Quito
631,Eox Xoe,Hanoi
632,Eox Xoe,Moscow
633,Eox Xoe,Kuwait City
634,Eox Xoe,Jayapura
635,Eox Xoe,Zapopan
636,Eox Xoe,Frankfurt
637,Eox Xoe,Tampa
638,Eox Xoe,Lhasa
639,Eox Xoe,Seville
640,Eox Xoe,Taichung
641,Eox Xoe,South Tarawa
642,Eox Xoe,Tamale
643,Eox Xoe,Cannes
644,Eox Xoe,Vitória
645,Eox Xoe,Hanga Roa
646,Eox Xoe,San Diego
647,Eox Xoe,Nairobi
648,Eox Xoe,Mexico City
649,Eox Xoe,Cape Town
650,Eox Xoe,Xi'an
651,Eox Xoe,Tirana
652,Eox Xoe,Seville
653,Eox Xoe,San Salvador
654,Eox Xoe,Serekunda
655,Eox Xoe,Ambon
656,Eox Xoe,Budapest
657,Eox Xoe,Banjul
658,Eox Xoe,Montevideo
659,Eox Xoe,Moscow
660,Eox Xoe,Lima
661,Eox Xoe,Mashhad
662,Eox Xoe,Sana'a
663,Eox Xoe,Abuja
664,Eox Xoe,Abu Dhabi
665,Eox Xoe,Monaco
666,Eox Xoe,Whitehorse
667,Eox Xoe,Palembang
668,Eox Xoe,Frankfurt
669,Eox Xoe,Odessa
670,Eox Xoe,Jakarta
671,Eox Xoe,Mbabane
672,Eox Xoe,Kathmandu
673,Eox Xoe,Santa Cruz de Tenerife
674,Eox Xoe,Dublin
675,Eox Xoe,Cusco
676,Eox Xoe,Basra
677,Eox Xoe,Doha
678,Eox Xoe,Dunedin
679,Eox Xoe,Ciudad del Este
680,Eox Xoe,Ulan Bator
681,Eox Xoe,Cayenne
682,Eox Xoe,Berlin
683,Eox Xoe,Murmansk
684,Eox Xoe,Tunis
685,Eox Xoe,Faisalabad
686,Eox Xoe,Rabat
687,Eox Xoe,Niamey
688,Eox Xoe,Forked River
689,Eox Xoe,Indianapolis
690,Eox Xoe,Tripoli
691,Eox Xoe,Kingston
692,Eox Xoe,Conakry
693,Eox Xoe,Lyon
694,Eox Xoe,Kabul
695,Eox Xoe,Ahmedabad
696,Eox Xoe,Kaliningrad
697,Eox Xoe,Balikpapan
698,Eox Xoe,Iquique
699,Eox Xoe,Pyongyang
700,Eox Xoe,Darwin
701,Eox Xoe,Hai Phong
702,Eox Xoe,Valparaíso
703,Eox Xoe,Mata-Utu
704,Eox Xoe,Denver
705,Eox Xoe,Samara
706,Eox Xoe,Vitória
707,Eox Xoe,Tijuana
708,Eox Xoe,Odessa
709,Eox Xoe,Weno
710,Eox Xoe,Palembang
711,Eox Xoe,Mumbai
712,Eox Xoe,Skopje
713,Eox Xoe,Ndola
714,Eox Xoe,São Paulo
715,Eox Xoe,Kolkata
716,Eox Xoe,Ipoh
717,Eox Xoe,Abidjan
718,Eox Xoe,Bursa
719,Eox Xoe,Wuhan
720,Eox Xoe,Seville
721,Eox Xoe,Calama
722,Eox Xoe,Yakutsk
723,Eox Xoe,Kuching
724,Eox Xoe,Darwin
725,Eox Xoe,Cebu City
726,Eox Xoe,Fort-de-France
727,Eox Xoe,Bogor
728,Eox Xoe,Port of Spain
729,Eox Xoe,Cairns
730,Eox Xoe,Quetzaltenango
731,Eox Xoe,Detroit
732,Eox Xoe,Freetown
733,Eox Xoe,El Aaiún
734,Eox Xoe,Ahmedabad
735,Eox Xoe,Atlanta
736,Eox Xoe,Thessaloniki
737,Eox Xoe,Providence
738,Eox Xoe,Recife
739,Eox Xoe,Córdoba
740,Eox Xoe,Fukuoka
741,Eox Xoe,Adamstown
742,Eox Xoe,Zagreb
743,Eox Xoe,Douglas
744,Eox Xoe,Birkirkara
745,Eox Xoe,Monterrey
746,Eox Xoe,Houston
747,Eox Xoe,Rio Branco
748,Eox Xoe,Cockburn Town
749,Eox Xoe,Phuket (city)
750,Eox Xoe,Honolulu
751,Eox Xoe,Linz
752,Eox Xoe,Linz
753,Eox Xoe,Austin
754,Eox Xoe,Shanghai
755,Eox Xoe,Portland
756,Eox Xoe,Fukuoka
757,Eox Xoe,Okinawa
758,Eox Xoe,Washington
759,Eox Xoe,Andorra la Vella
760,Eox Xoe,Dibrugarh
761,Eox Xoe,Iloilo City
762,Eox Xoe,Daegu
763,Eox Xoe,Adelaide
764,Eox Xoe,Valdivia
765,Eox Xoe,Maceió
766,Eox Xoe,Vladivostok
767,Eox Xoe,Sucre
768,Eox Xoe,Riga
769,Eox Xoe,Amman
770,Eox Xoe,Sofia
771,Eox Xoe,Santa Cruz de Tenerife
772,Eox Xoe,Brisbane
773,Eox Xoe,Dili
774,Eox Xoe,Pago Pago
775,Eox Xoe,Prague
776,Eox Xoe,Beijing
777,Eox Xoe,Lomé
778,Eox Xoe,Surat Thani
779,Eox Xoe,Blantyre
780,Eox Xoe,Philadelphia
781,Eox Xoe,Mexicali
782,Eox Xoe,Athens
783,Eox Xoe,Oranjestad
784,Eox Xoe,Caracas
785,Eox Xoe,Hat Yai
786,Eox Xoe,Medan
787,Eox Xoe,Helsinki
788,Eox Xoe,Lahore
789,Eox Xoe,Daegu
790,Eox Xoe,Tórshavn
791,Eox Xoe,Bulawayo
792,Eox Xoe,Winnipeg
793,Eox Xoe,Rabat
794,Eox Xoe,The Hague
795,Eox Xoe,Curitiba
796,Eox Xoe,Dibrugarh
797,Eox Xoe,Taipei
798,Eox Xoe,Bloemfontein
799,Eox Xoe,Columbus
800,Eox Xoe,Kigali
801,Eox Xoe,Suez
802,Eox Xoe,Adak
803,Eox Xoe,Tamale
804,Eox Xoe,Dhaka
805,Eox Xoe,Daegu
806,Eox Xoe,Saint John
807,Eox Xoe,Nanjing
808,Eox Xoe,Stanley
809,Eox Xoe,Thessaloniki
810,Eox Xoe,Mérida
811,Eox Xoe,Nouakchott
812,Eox Xoe,Lyon
813,Eox Xoe,Adelaide
814,Eox Xoe,Mandurah
815,Eox Xoe,Vilnius
816,Eox Xoe,Rio de Janeiro
817,Eox Xoe,Ndola
818,Eox Xoe,Abu Dhabi
819,Eox Xoe,Milwaukee
820,Eox Xoe,Kanpur
821,Eox Xoe,Antananarivo
822,Eox Xoe,Hobart
823,Eox Xoe,Jerusalem
824,Eox Xoe,Longyearbyen
825,Eox Xoe,Lhasa
826,Eox Xoe,Petropavlovsk-Kamchatsky
827,Eox Xoe,Namangan
828,Eox Xoe,South Tarawa
829,Eox Xoe,Mersin
830,Eox Xoe,Saint-Denis
831,Eox Xoe,Maseru
832,Eox Xoe,Daegu
833,Eox Xoe,Padang
834,Eox Xoe,Ibadan
835,Eox Xoe,Bangalore
836,Eox Xoe,Lyon
837,Eox Xoe,Siem Reap
838,Eox Xoe,Amman
839,Eox Xoe,Jinan
840,Eox Xoe,Gaborone
841,Eox Xoe,Jakarta
842,Eox Xoe,Belém
843,Eox Xoe,Luanda
844,Eox Xoe,La Paz
845,Eox Xoe,Rabi Island
846,Eox Xoe,Jaipur
847,Eox Xoe,São Paulo
848,Eox Xoe,Djibouti (city)
849,Eox Xoe,Milan
850,Eox Xoe,Surabaya
851,Eox Xoe,Shigatse
852,Eox Xoe,Chengdu
853,Eox Xoe,Winnipeg
854,Eox Xoe,São Tomé
855,Eox Xoe,Iquitos
856,Eox Xoe,Osaka
857,Eox Xoe,Valletta
858,Eox Xoe,Christchurch
859,Eox Xoe,Fort-de-France
860,Eox Xoe,Chengdu
861,Eox Xoe,Namangan
862,Eox Xoe,Arequipa
863,Eox Xoe,Dubai
864,Eox Xoe,Manaus
865,Eox Xoe,Kigali
866,Eox Xoe,Kingstown
867,Eox Xoe,Milwaukee
868,Eox Xoe,Thimphu
869,Eox Xoe,Medina
870,Eox Xoe,Taiyuan
871,Eox Xoe,Horta (Azores)
872,Eox Xoe,Brussels
